Rainfall - (MM), Year, Statistics, Country, ISO3
55.7448,1901, Jan Average,Andhra Pradesh, AP
13.948,1901, Feb Average,Andhra Pradesh, AP
43.8464,1901, Mar Average,Andhra Pradesh, AP
26.961,1901, Apr Average,Andhra Pradesh, AP
52.9579,1901, May Average,Andhra Pradesh, AP
16.6465,1901, Jun Average,Andhra Pradesh, AP
7.38656,1901, Jul Average,Andhra Pradesh, AP
0.59306,1901, Aug Average,Andhra Pradesh, AP
4.82593,1901, Sep Average,Andhra Pradesh, AP
11.4972,1901, Oct Average,Andhra Pradesh, AP
8.61022,1901, Nov Average,Andhra Pradesh, AP
7.90607,1901, Dec Average,Andhra Pradesh, AP
24.1121,1902, Jan Average,Andhra Pradesh, AP
20.8288,1902, Feb Average,Andhra Pradesh, AP
41.8576,1902, Mar Average,Andhra Pradesh, AP
29.9279,1902, Apr Average,Andhra Pradesh, AP
8.98336,1902, May Average,Andhra Pradesh, AP
5.35169,1902, Jun Average,Andhra Pradesh, AP
3.15428,1902, Jul Average,Andhra Pradesh, AP
1.11072,1902, Aug Average,Andhra Pradesh, AP
2.2639,1902, Sep Average,Andhra Pradesh, AP
19.8042,1902, Oct Average,Andhra Pradesh, AP
43.1489,1902, Nov Average,Andhra Pradesh, AP
18.7537,1902, Dec Average,Andhra Pradesh, AP
49.3334,1903, Jan Average,Andhra Pradesh, AP
45.6953,1903, Feb Average,Andhra Pradesh, AP
69.7291,1903, Mar Average,Andhra Pradesh, AP
33.0954,1903, Apr Average,Andhra Pradesh, AP
60.6917,1903, May Average,Andhra Pradesh, AP
7.62944,1903, Jun Average,Andhra Pradesh, AP
5.63623,1903, Jul Average,Andhra Pradesh, AP
4.65012,1903, Aug Average,Andhra Pradesh, AP
7.45214,1903, Sep Average,Andhra Pradesh, AP
0.8791,1903, Oct Average,Andhra Pradesh, AP
9.91327,1903, Nov Average,Andhra Pradesh, AP
19.8138,1903, Dec Average,Andhra Pradesh, AP
67.9221,1904, Jan Average,Andhra Pradesh, AP
