Temperature - (Celsius), Year, Statistics, Country, ISO3
-0.0378,1901, Jan Average,Andhra Pradesh, AP
2.42348,1901, Feb Average,Andhra Pradesh, AP
9.3623,1901, Mar Average,Andhra Pradesh, AP
13.5564,1901, Apr Average,Andhra Pradesh, AP
18.1509,1901, May Average,Andhra Pradesh, AP
22.1727,1901, Jun Average,Andhra Pradesh, AP
25.3787,1901, Jul Average,Andhra Pradesh, AP
23.6652,1901, Aug Average,Andhra Pradesh, AP
19.4655,1901, Sep Average,Andhra Pradesh, AP
11.2837,1901, Oct Average,Andhra Pradesh, AP
8.6319,1901, Nov Average,Andhra Pradesh, AP
4.02148,1901, Dec Average,Andhra Pradesh, AP
2.43386,1902, Jan Average,Andhra Pradesh, AP
2.32874,1902, Feb Average,Andhra Pradesh, AP
7.61617,1902, Mar Average,Andhra Pradesh, AP
12.3997,1902, Apr Average,Andhra Pradesh, AP
19.4873,1902, May Average,Andhra Pradesh, AP
24.1452,1902, Jun Average,Andhra Pradesh, AP
25.0482,1902, Jul Average,Andhra Pradesh, AP
24.2475,1902, Aug Average,Andhra Pradesh, AP
19.0351,1902, Sep Average,Andhra Pradesh, AP
12.9641,1902, Oct Average,Andhra Pradesh, AP
7.19137,1902, Nov Average,Andhra Pradesh, AP
3.21455,1902, Dec Average,Andhra Pradesh, AP
-1.588,1903, Jan Average,Andhra Pradesh, AP
2.6049,1903, Feb Average,Andhra Pradesh, AP
2.19759,1903, Mar Average,Andhra Pradesh, AP
10.9805,1903, Apr Average,Andhra Pradesh, AP
17.0656,1903, May Average,Andhra Pradesh, AP
23.4819,1903, Jun Average,Andhra Pradesh, AP
24.7819,1903, Jul Average,Andhra Pradesh, AP
23.887,1903, Aug Average,Andhra Pradesh, AP
19.8621,1903, Sep Average,Andhra Pradesh, AP
14.1072,1903, Oct Average,Andhra Pradesh, AP
5.79271,1903, Nov Average,Andhra Pradesh, AP
0.90361,1903, Dec Average,Andhra Pradesh, AP
-5.5545,1904, Jan Average,Andhra Pradesh, AP
4.27782,1904, Feb Average,Andhra Pradesh, AP
7.50411,1904, Mar Average,Andhra Pradesh, AP
11.7398,1904, Apr Average,Andhra Pradesh, AP
17.9897,1904, May Average,Andhra Pradesh, AP
22.8683,1904, Jun Average,Andhra Pradesh, AP
25.0061,1904, Jul Average,Andhra Pradesh, AP
