Domain, Country,Element,Item,Year,Unit,Value
Crops,Andhra Pradesh,Yield,Barley,1961,hg/ha,10800
Crops,Andhra Pradesh,Yield,Barley,1962,hg/ha,10800
Crops,Andhra Pradesh,Yield,Barley,1963,hg/ha,10800
Crops,Andhra Pradesh,Yield,Barley,1964,hg/ha,10857
Crops,Andhra Pradesh,Yield,Barley,1965,hg/ha,10857
Crops,Andhra Pradesh,Yield,Barley,1966,hg/ha,10714
Crops,Andhra Pradesh,Yield,Barley,1967,hg/ha,11297
Crops,Andhra Pradesh,Yield,Barley,1968,hg/ha,11388
Crops,Andhra Pradesh,Yield,Barley,1969,hg/ha,11514
Crops,Andhra Pradesh,Yield,Barley,1970,hg/ha,11746
Crops,Andhra Pradesh,Yield,Barley,1971,hg/ha,11270
Crops,Andhra Pradesh,Yield,Barley,1972,hg/ha,10938
Crops,Andhra Pradesh,Yield,Barley,1973,hg/ha,11250
Crops,Andhra Pradesh,Yield,Barley,1974,hg/ha,11170
Crops,Andhra Pradesh,Yield,Barley,1975,hg/ha,12000
Crops,Andhra Pradesh,Yield,Barley,1976,hg/ha,12903
Crops,Andhra Pradesh,Yield,Barley,1977,hg/ha,9677
Crops,Andhra Pradesh,Yield,Barley,1978,hg/ha,10484
Crops,Andhra Pradesh,Yield,Barley,1979,hg/ha,10461
Crops,Andhra Pradesh,Yield,Barley,1980,hg/ha,10490
Crops,Andhra Pradesh,Yield,Barley,1981,hg/ha,10791
Crops,Andhra Pradesh,Yield,Barley,1982,hg/ha,10739
Crops,Andhra Pradesh,Yield,Barley,1983,hg/ha,10992
Crops,Andhra Pradesh,Yield,Barley,1984,hg/ha,10855
Crops,Andhra Pradesh,Yield,Barley,1985,hg/ha,10860
Crops,Andhra Pradesh,Yield,Barley,1986,hg/ha,10845
Crops,Andhra Pradesh,Yield,Barley,1987,hg/ha,10845
Crops,Andhra Pradesh,Yield,Barley,1988,hg/ha,11085
Crops,Andhra Pradesh,Yield,Barley,1989,hg/ha,10948
Crops,Andhra Pradesh,Yield,Barley,1990,hg/ha,10537
Crops,Andhra Pradesh,Yield,Barley,1991,hg/ha,10637
Crops,Andhra Pradesh,Yield,Barley,1992,hg/ha,8000
Crops,Andhra Pradesh,Yield,Barley,1993,hg/ha,10000
Crops,Andhra Pradesh,Yield,Barley,1994,hg/ha,9200
Crops,Andhra Pradesh,Yield,Barley,1995,hg/ha,8889
Crops,Andhra Pradesh,Yield,Barley,1996,hg/ha,10000
Crops,Andhra Pradesh,Yield,Barley,1997,hg/ha,12500
Crops,Andhra Pradesh,Yield,Barley,1998,hg/ha,12000
Crops,Andhra Pradesh,Yield,Barley,1999,hg/ha,12000
Crops,Andhra Pradesh,Yield,Barley,2000,hg/ha,5968
Crops,Andhra Pradesh,Yield,Barley,2001,hg/ha,10000
Crops,Andhra Pradesh,Yield,Barley,2002,hg/ha,14619
Crops,Andhra Pradesh,Yield,Barley,2003,hg/ha,8889
Crops,Andhra Pradesh,Yield,Barley,2004,hg/ha,9206
Crops,Andhra Pradesh,Yield,Barley,2005,hg/ha,14042
Crops,Andhra Pradesh,Yield,Barley,2006,hg/ha,15424
Crops,Andhra Pradesh,Yield,Barley,2007,hg/ha,15678
Crops,Andhra Pradesh,Yield,Barley,2008,hg/ha,14110
Crops,Andhra Pradesh,Yield,Barley,2009,hg/ha,18202
Crops,Andhra Pradesh,Yield,Barley,2010,hg/ha,20613
Crops,Andhra Pradesh,Yield,Barley,2011,hg/ha,16100
Crops,Andhra Pradesh,Yield,Barley,2012,hg/ha,18000
Crops,Andhra Pradesh,Yield,Barley,2013,hg/ha,18489
Crops,Andhra Pradesh,Yield,Barley,2014,hg/ha,15213
Crops,Andhra Pradesh,Yield,Barley,2015,hg/ha,14291
Crops,Andhra Pradesh,Yield,Barley,2016,hg/ha,13770
Crops,Andhra Pradesh,Yield,Barley,2017,hg/ha,13933
Crops,Andhra Pradesh,Yield,Barley,2018,hg/ha,6748
Crops,Andhra Pradesh,Yield,Barley,2019,hg/ha,14699
Crops,Andhra Pradesh,Yield,Maize,1961,hg/ha,14000
Crops,Andhra Pradesh,Yield,Maize,1962,hg/ha,14000
Crops,Andhra Pradesh,Yield,Maize,1963,hg/ha,14260
